Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4,Unnamed: 11
23555,65977,,support.pt@aspiegel.com,[AppGallery]Issues and Suggestions,"Description I don't understand DNS is never working, could you help me??? Contact information *****(PHONE). - xxxxx@xxxx.com Sent from my cell phoneDescription I don't understand why the DNS is never working', can you help me? Contact information *****(PHONE). - xxxxx@xxxx.com Sent from my cell phone",AppGallery / Other Requests,AppGallery ,Problem/Fault,General,Cannot connect - Server,
23534,65883,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description COMIT Fails to INSTALL Contact information xxxxx@xxxx.com Sent from my Huawei phone,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,,Can't install Apps
23477,65661,,support.pt@aspiegel.com,Re: support.pt Auto-reply: [AppGallery]Problems and suggestions,"Huawi health On Mon, 5 Sept *****(PHONE), 1:40 pm , wrote: Hi, We appreciate your contact! Our support representatives will check your message and get back to you as soon as possible. We appreciate your patience and cooperation. Sincerely, Aspiegel Customer Support Team. _____________________________________ Aspiegel SE is a company incorporated under the laws of Ireland, headquartered in Dublin, Ireland. Aspiegel SE is the Huawei Mobile Services provider for Huawei and Honor device owners in Europe, Canada, Australia, New Zealand and other countries.Huawi health On Mon, 5 Sept *****(PHONE), 1:40 pm , wrote: Hi, We appreciate your contact! Our support representatives will check your message and get back to you as soon as possible. We appreciate your patience and cooperation. Sincerely, Aspiegel Customer Support Team. _____________________________________ Aspiegel SE is a company incorporated under the laws of Ireland, headquartered in Dublin, Ireland. Aspiegel SE is the provider of Huawei Mobile Services for Huawei and Honor device owners in Europe, Canada, Australia, New Zealand and other countries.",AppGallery / Other Requests,AppGallery ,Others,,,
23452,65616,,support.pt@aspiegel.com,[AppGallery]Issues and Suggestions,Description can't install Contact Information 962 225 736 Sent from my Huawei cell phone. Description can't install Contact Information 962 225 736 Sent from my Huawei cell phone.,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,
23429,65569,,support.pt@aspiegel.com,[AppGallery]Issues and Suggestions,Description does not install Contact information xxxxx@xxxx.comDescription does not install Contact information xxxxx@xxxx.com,AppGallery / Other Requests,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,
23395,65482,,support.pt@aspiegel.com,[AppGallery]Problems and solutions,Description In the area where I am (*****(LOC)) there is no connection (3 Fastweb devices) and we are having difficulties with calls. No connection to the Internet. Contact information *****(PHONE) - *****(PHONE) - *****(PHONE) Sent from my Huawei tabletDescription In the area where I am (*****(LOC)) there is no connection (3 Fastweb devices) and we are having difficulties with calls. No connection to the Internet. Contact information *****(PHONE) - *****(PHONE) - *****(PHONE) Sent from my Huawei tablet,AppGallery / Other Requests,AppGallery ,Others,,,
23230,65024,,support.pt@aspiegel.com,[AppGallery]Issues and suggestions,Description What's up Contact info *****(PHONE) Sent from my phone HuaweiDescription What's up Contact info *****(PHONE) Sent from my phone Huawei,AppGallery / Other Requests,AppGallery ,Others,,,
23229,65022,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description What's up Contact information *****(PHONE) Sent from my Huawei phone,AppGallery / Other Requests,AppGallery ,Others,,,
23212,64982,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,OK Description What's up Contact information *****(PHONE) Sent from my Huawei phone,AppGallery / Other Requests,AppGallery ,Others,,,
23194,64946,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description Installation error Contact information *****(PHONE),AppGallery / Other Requests,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,
23193,64944,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description Installation error Contact information +*****(PHONE) *****(PER),AppGallery / Other Requests,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,
23189,64938,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description Please fix them. Contact information xxxxx@xxxx.com,AppGallery / Other Requests,AppGallery ,Suggestion,General,Personal data,
23188,64936,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description U. Contact information xxxxx@xxxx.com,AppGallery / Other Requests,AppGallery ,Suggestion,General,Personal data,
23056,64550,44805.93403,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,"Description My phone data and privacy is insecure...all apps and accounts are copied and shared by third parties without my consent. I wish to report that everything used here is still not private. As we speak, I'm scared and frustrated about this issue. Contact information xxxxx@xxxx.com",AppGallery / Report a scam or fraud ,AppGallery ,Suggestion,General,Personal data,
23055,64549,44805.91319,support.pt@aspiegel.com,[AppGallery]Problems and Suggestions,Description Cannot install Contact details xxxxx@xxxx.com,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,
23054,64548,44805.91319,support.pt@aspiegel.com,[AppGallery]Problems and Suggestions,Description No installation possible Contact information xxxxx@xxxx.comDescription No installation possible Contact information xxxxx@xxxx.com,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,
23052,64544,44805.88819,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description: It does not upload. Contact information: 0 543 375 79 90,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,General,AppGallery not loading,
23050,64542,44805.87361,support.eu@aspiegel.com,Re: RE : OD: Full refund from first day,"Hello, I already sent to them e-mail twice with reminder two weeks ago, but they never replied. They fixed bug after I was impacted, and they want to shut it down to be silence as we see. I kindly asking to make a refund because of this situation. Thank You for Your support to making it possible. Kind regards, Client From: xxxxx@xxxx.com Sent: Wednesday, August 10, *****(PHONE) 2:30 PM To: xxxxx@xxxx.com Subject: RE : OD: Full refund from first day Dear customer, We appreciate you patience, our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund, you can provide that proof to us. You should be able to contact the Customer support of the game on: https://aihelp.net/privacypolicy/ or Customer Service: xxxxx@xxxx.com. If you have further game issue, you also can directly contact our dedicated game operation staff through discord channel. Here is the discord link (Poland): https://discord.gg/tkYZC5CAGu that serves your country. We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Ramon Aspiegel Customer Support team Aspiegel SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Aspiegel SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Tuesday 09 August *****(PHONE) 14:59 To : xxxxx@xxxx.com Subject : OD: Full refund from first day Hello, Thanks You for a feedback. I perfectly understand this, but what In case when the products is not as advertised and not functioning. There is a perfect example of It. All because last big issue on devs side. Thank You for a positive feedback In this situation. Kind regards, Wysłano z telefonu -------- *****(PERSON) wiadomość -------- Od: xxxxx@xxxx.com Data: wt., 9 sie *****(PHONE), 14:55 Do: xxxxx@xxxx.com Temat: RE : Full refund from first day Dear customer, We have carefully review your request and, unfortunately, we have concluded that you are not quality for a refund this time. Accordingly to The Walking Dead user's agreement, the refund of the payments can't be provided, once the items are successfully delivered to the gamer's account. Please be aware that he purchase date back to *****(PHONE), therefore you have used the items purchased and there is no way of recollecting them. Thank you for understanding. Sincerely, Ramon Aspiegel Customer Support team Aspiegel SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Aspiegel SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Tuesday 09 August *****(PHONE) 14:31 To : xxxxx@xxxx.com Subject : Full refund from first day Hello, I hope Youre well. Accordingly to TWD survivors where bought products is not as advertised and not functioning. Im asking for a full refund since first day. There is a no fair and bugged competition which affects the gampley, example last rzt 199 vs 204 match. Regarding to all isues I kindly requesting for a full refund. In the first line below transactions: Ad*****(PHONE)DB05 01.09.*****(PHONE) 198, 99pln PW*****(PHONE)BF505 01.09.*****(PHONE) 393, 96pln Ad*****(PHONE)E*****(PHONE) 02.09.*****(PHONE) 198, 99pln Ad*****(PHONE)DC9ED05 10.09.*****(PHONE) 393, 96pln Ad*****(PHONE)B*****(PHONE) 10.09.*****(PHONE) 198, 99pln Ad*****(PHONE)BC*****(PHONE) 14.09.*****(PHONE) 393, 96pln Ad*****(PHONE)DC7E05 14.09.*****(PHONE) 198, 99pln Ad*****(PHONE)DCDAC005 20.09.*****(PHONE) 198, 99pln Ad*****(PHONE)EDC38C05 20.09.*****(PHONE) 393, 96pln PW*****(PHONE)FCB7B05 25.09.*****(PHONE) 393, 96pln Ad*****(PHONE)E905 30.10.*****(PHONE) 393, 96pln Ad*****(PHONE)D61DBD05 02.11.*****(PHONE) 393, 96pln PW*****(PHONE)E721F05 03.11.*****(PHONE) 393, 96pln PW*****(PHONE)C*****(PHONE) 03.11.*****(PHONE) 393, 96pln PW*****(PHONE)F5A105 09.11.*****(PHONE) 198, 99pln H*****(PHONE)C7C*****(PHONE) 25.11.*****(PHONE) 198, 99pln H*****(PHONE)BDA1F405 25.11.*****(PHONE) 393, 96pln PW*****(PHONE) 26.11.*****(PHONE) 393, 96pln PW*****(PHONE)D77B0C05 26.11. *****(PHONE) 198, 99pln Ad*****(PHONE)E287FF05 01.12.*****(PHONE) 393, 96pln Ad*****(PHONE)BD3CFF05 24.12.*****(PHONE) 393, 96pln H*****(PHONE)BE86E705 24.12.*****(PHONE) 198, 96pln Ad*****(PHONE)C13F905 25.12.*****(PHONE) 198,99pln Ad*****(PHONE)CB2B05 29.12.*****(PHONE) 393, 96pln Ad*****(PHONE)B05 29.12.*****(PHONE) 198, 99pln Ad*****(PHONE)D3B1E405 30.12.*****(PHONE) 393, 96pln Thanks all of You for a great cooperation Wysłano z telefonu Huawei *****(PHONE) *****(PHONE)",AppGallery /  Refund request: unwanted subscription/ item/ app,AppGallery ,Problem/Fault,Third Party APPs,Refund,
23049,64540,44805.85139,support.pt@aspiegel.com,[AppGallery]Problems and recommendations,Description Failed to install update mi vydeoplayer Contact information xxxxx@xxxx.com,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,
23047,64532,44805.83333,support.eu@aspiegel.com,Go: RE: Go: RE: Unreceived Huawei Points,"It is ok, I don't request anything. You may close the ticket. Thanks *****(PERSON): xxxxx@xxxx.com Gönderildi: 1 Eylül *****(PHONE) Perşembe 19:09 Kime: xxxxx@xxxx.com Konu: RE : Ynt: RE : Unreceived *****(PERSON) Dear user, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about your Campaign Cashback 15%. To create a better game experience, we built a discord channel to update you the latest game campaign, discount activities, and also provide you direct services. We recommend you to use our discord channel. We recommend you contact us via discord channel : https://discord.gg/tkYZC5CAGu from your computer desktop directly. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei id 2. Your service country AppGallery> Me> Settings> Country 2. The name of the game app 3. The name of the campaign you participated in 4. Outline how many HUAWEI Points/Coupon/Prize you were meant to receive 5. Your discord account contact information if applicable If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:24 To : xxxxx@xxxx.com Subject : Ynt: RE : Unreceived *****(PERSON) Hello again Here is the information you requested : 1. My Huawei ID : xxxxx@xxxx.com 2. Your service country : Turkey 2. The name of the game app : World Of Tanks Blitz 3. The name of the campaign you participated in : App Gallery Game Festival Campaign (15% Cashback) 4. How many HUAWEI Points/Coupon I was meant to receive : About 9 TL 5. My discord account contact information : Icebreaker #*****(PHONE) *****(PERSON): xxxxx@xxxx.com Gönderildi: 1 Eylül *****(PHONE) Perşembe 16:53 Kime: xxxxx@xxxx.com Konu: RE : Unreceived *****(PERSON) Dear customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about World Of Tanks Blitz cashback. To build better game experience, we build discord channel to update you the latest game campaign, discount activities, and provide you direct services. We recommend you to use our discord channel. Please go to Huawei App Gallery>Campaign>Click any valid campaign on the list> find discord icon in the page > Click the link and Join. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei ID. 2. Your service country AppGallery> Me> Settings> Country. 2. The name of the game app. 3. The name of the campaign you participated in. 4. Outline how many HUAWEI Points/Coupon you were meant to receive. 5. Your discord account contact information if applicable. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would very much appreciate your feedback on our email exchange, as we need your opinion to continue to improve our service. Therefore, we invite you to fill out the survey that will soon be sent to the email address you used to contact us. Sincerely, *****(PERSON). *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 15:32 To : xxxxx@xxxx.com Subject : Unreceived *****(PERSON) Hello I have recently made an in-game purchase (World Of Tanks Blitz) but haven't received 15% *****(PERSON) because of that purchase. My Huawei account has the the same e-mail with this one. Please transfer the relevant amount of Huawei points into my account. Best Regards *****(PHONE) *****(PHONE)",AppGallery / Huawei points missing,AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,
23046,64531,44805.83194,support.eu@aspiegel.com,Aspiegel Support issue submit,Product: AppGallery & Games Requests: Other Requests Contact Full Name: Miguel Losada Seoane Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Huawei Id Account: xxxxx@xxxx.com Summary of the issue: They sent me a Huawei scale because I won a raffle but after more than a week I haven't received it and I don't know who I should contact...regards Home | News | Events | Products | Partners | Support Copyright Aspiegel SE,AppGallery / Unable to claim the prize/points/coupons,AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,
23044,64525,44805.82222,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description My cell phone is broken and it won't let me uninstall anything. Contact information Exxxxx@xxxx.com,AppGallery / Suggestions &amp; Feedback,AppGallery ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,
